gene,name
YBR085W,AAC3
YER017C,AFG3
YNR030W,ALG12
YOR002W,ALG6
YGL180W,ATG1
YBL078C,ATG8
YNR002C,ATO2
YDR377W,ATP17
YDR099W,BMH2
YER114C,BOI2
YFL025C,BST1
YLR353W,BUD8
YMR275C,BUL1
YOR276W,CAF20
YNL288W,CAF40
YEL063C,CAN1
YDL069C,CBS1
YER164W,CHD1
YOR061W,CKA2
YGL263W,COS12
YBR042C,CST26
YDR151C,CTH1
YPL177C,CUP9
YPR158W,CUR1
YJR048W,CYC1
YDR020C,DAS2
YPR111W,DBF20
YGL078C,DBP3
YOR311C,DGK1
YKR035W-A,DID2
YMR126C,DLT1
YNL001W,DOM34
YBR007C,DSF2
YMR276W,DSK2
YPL101W,ELP4
YGL200C,EMP24
YGR254W,ENO1
YNL080C,EOS1
YML012W,ERV25
YML067C,ERV41
YDR518W,EUG1
YER056C,FCY2
YMR058W,FET3
YOR382W,FIT2
YMR221C,FMP42
YDR110W,FOB1
YOL132W,GAS4
YAL048C,GEM1
YER020W,GPA2
YDL021W,GPM2
YDL035C,GPR1
YFR015C,GSY1
YMR251W,GTO3
YML121W,GTR1
YKR084C,HBS1
YBR034C,HMT1
YMR251W-A,HOR7
YHL002W,HSE1
YGR268C,HUA1
YGL253W,HXK2
YNL037C,IDH1
YOR136W,IDH2
YDL066W,IDP1
YCR046C,IMG1
YCR071C,IMG2
YIL002C,INP51
YOR109W,INP53
YOR135C,IRC14
YMR073C,IRC21
YOR304W,ISW2
YDR497C,ITR1
YPL125W,KAP120
YPL155C,KIP2
YGL079W,KXD1
YHR156C,LIN1
YKL205W,LOS1
YFL018C,LPD1
YGR136W,LSB1
YKL143W,LTV1
YNL268W,LYP1
YJL013C,MAD3
YBL091C,MAP2
YJL102W,MEF2
YNL142W,MEP2
YJR010W,MET3
YGL035C,MIG1
YER001W,MNN1
YBR015C,MNN2
YGR243W,MPC3
YOR288C,MPD1
YMR286W,MRPL33
YPL173W,MRPL40
YJL096W,MRPL49
YKL009W,MRT4
YDR115W,MRX14
YNL073W,MSK1
YDR268W,MSW1
YKL098W,MTC2
YBR255W,MTC4
YMR100W,MUB1
YNL119W,NCS2
YJR073C,OPI3
YBR279W,PAF1
YJL023C,PET130
YDL065C,PEX19
YMR018W,PEX9
YMR105C,PGM2
YCR037C,PHO87
YDR313C,PIB1
YOL100W,PKH2
YGL006W,PMC1
YML107C,PML39
YDL095W,PMT1
YOR321W,PMT3
YDL093W,PMT5
YPL144W,POC4
YML017W,PSP2
YEL020C,PXP1
YDR314C,RAD34
YGL246C,RAI1
YCR106W,RDS1
YPR007C,REC8
YBR267W,REI1
YLR176C,RFX1
YCR028C-A,RIM1
YMR283C,RIT1
YDR465C,RMT2
YLR371W,ROM2
YER169W,RPH1
YEL054C,RPL12A
YDR418W,RPL12B
YDL082W,RPL13A
YMR142C,RPL13B
YNL069C,RPL16B
YBR084C-A,RPL19A
YBL027W,RPL19B
YGL135W,RPL1B
YMR242C,RPL20A
YOR312C,RPL20B
YPL079W,RPL21B
YLR061W,RPL22A
YBL087C,RPL23A
YLR344W,RPL26A
YFR032C-A,RPL29
YIL018W,RPL2B
YDL075W,RPL31A
YER056C-A,RPL34A
YIL052C,RPL34B
YDL191W,RPL35A
YDR500C,RPL37B
YJR094W-A,RPL43B
YML073C,RPL6A
YLR448W,RPL6B
YGL076C,RPL7A
YGL147C,RPL9A
YDL081C,RPP1A
YDL130W,RPP1B
YOL039W,RPP2A
YDR382W,RPP2B
YOR369C,RPS12
YPL090C,RPS6A
YPL152W,RRD2
YNL213C,RRG9
YOR014W,RTS1
YLR180W,SAM1
YFR040W,SAP155
YJL098W,SAP185
YMR127C,SAS2
YBL052C,SAS3
YHR205W,SCH9
YGR279C,SCW4
YKL148C,SDH1
YLL041C,SDH2
YOL071W,SDH5
YIL084C,SDS3
YPL047W,SGF11
YGL066W,SGF73
YKR072C,SIS2
YNL311C,SKP2
YBR266C,SLM6
YBR172C,SMY2
YDR006C,SOK1
YMR066W,SOV1
YDR523C,SPS1
YKL020C,SPT23
YGR063C,SPT4
YLR055C,SPT8
YHR066W,SSF1
YPL029W,SUV3
YPL105C,SYH1
YDL063C,SYO1
YOL020W,TAT2
YKR059W,TIF1
YJL138C,TIF2
YGR162W,TIF4631
YPR040W,TIP41
YLR136C,TIS11
YKL056C,TMA19
YDR457W,TOM1
YJR066W,TOR1
YGL096W,TOS8
YPR156C,TPO3
YJL129C,TRK1
YMR223W,UBP8
YLR024C,UBR2
YDL169C,UGX2
YNL229C,URE2
YER128W,VFA1
YKL041W,VPS24
YDR486C,VPS60
YLL012W,YEH1
YOR064C,YNG1
YKR014C,YPT52
YLR262C,YPT6
YBR054W,YRO2
YJL139C,YUR1
YIR026C,YVH1
YBL053W,
YBL083C,
YBR013C,
YBR197C,
YBR226C,
YBR238C,
YCL006C,
YCR101C,
YIL089W,
YKR073C,
YDL062W,
YDL172C,
YDR048C,
YGL042C,
YGL165C,
YGR051C,
YJL022W,
YNL034W,
YOL014W,
YOR111W,
YPR064W,